question_id,question_uncertainty,R
Q001,Guideline-Direct,C
Q002,Guideline-Direct,B
Q003,Guideline-Direct,C
Q004,Guideline-Direct,E
Q005,Guideline-Direct,C
Q006,Guideline-Direct,D
Q007,Guideline-Direct,C
Q008,Guideline-Direct,A
Q009,Guideline-Direct,B
Q010,Guideline-Direct,B
Q011,Guideline-Direct,C
Q012,Guideline-Direct,C
Q013,Guideline-Direct,E
Q014,Guideline-Direct,D
Q015,Guideline-Direct,A
Q016,Guideline-Direct,A
Q017,Guideline-Direct,D
Q018,Evidence-Equipoise,C
Q019,Evidence-Equipoise,E
Q020,Evidence-Equipoise,E
Q021,Evidence-Equipoise,D
Q022,Evidence-Equipoise,A
Q023,Evidence-Equipoise,C
Q024,Evidence-Equipoise,B
Q025,Evidence-Equipoise,E
Q026,Evidence-Equipoise,E
Q027,Evidence-Equipoise,B
Q028,Evidence-Equipoise,A
Q029,Evidence-Equipoise,B
Q030,Evidence-Equipoise,D
Q031,Evidence-Equipoise,C
Q032,Evidence-Equipoise,A
Q033,Evidence-Equipoise,D
Q034,Evidence-Equipoise,D
Q035,Extrapolation-Required,C
Q036,Extrapolation-Required,A
Q037,Extrapolation-Required,A
Q038,Extrapolation-Required,D
Q039,Extrapolation-Required,C
Q040,Extrapolation-Required,C
Q041,Extrapolation-Required,C
Q042,Extrapolation-Required,B
Q043,Extrapolation-Required,B
Q044,Extrapolation-Required,D
Q045,Extrapolation-Required,B
Q046,Extrapolation-Required,C
Q047,Extrapolation-Required,E
Q048,Extrapolation-Required,A
Q049,Extrapolation-Required,C
Q050,Extrapolation-Required,D
